Stock,Genotype
28122,DGRP-21 
28123,DGRP-26 
28124,DGRP-28 
28125,DGRP-38 
29651,DGRP-40 
28126,DGRP-41 
28127,DGRP-42 
28128,DGRP-45 
34062,DGRP-49 
29652,DGRP-57 
28129,DGRP-59 
28130,DGRP-69 
28131,DGRP-73 
28132,DGRP-75 
28134,DGRP-83 
28274,DGRP-85 
28135,DGRP-88 
28136,DGRP-91 
28137,DGRP-93 
28138,DGRP-101 
28139,DGRP-105 
28140,DGRP-109 
28141,DGRP-129 
28142,DGRP-136 
28143,DGRP-138 
28144,DGRP-142 
28145,DGRP-149 
28146,DGRP-153 
28147,DGRP-158 
28148,DGRP-161 
28149,DGRP-176 
28150,DGRP-177 
28151,DGRP-181 
28152,DGRP-189 
28153,DGRP-195 
25174,DGRP-208 
28154,DGRP-217 
28155,DGRP-223 
28156,DGRP-227 
28157,DGRP-228 
29653,DGRP-229 
28159,DGRP-233 
28275,DGRP-235 
28160,DGRP-237 
28161,DGRP-239 
28162,DGRP-256 
28164,DGRP-280 
28165,DGRP-287 
25175,DGRP-301 
25176,DGRP-303 
25177,DGRP-304 
37525,DGRP-306 
25179,DGRP-307 
28166,DGRP-309 
28276,DGRP-310 
25180,DGRP-313 
25181,DGRP-315 
28167,DGRP-317 
28168,DGRP-318 
29654,DGRP-320 
29655,DGRP-321 
25182,DGRP-324 
28170,DGRP-325 
28171,DGRP-332 
25183,DGRP-335 
28172,DGRP-336 
28173,DGRP-338 
28174,DGRP-340 
28176,DGRP-350 
28177,DGRP-352 
28178,DGRP-356 
25184,DGRP-357 
25185,DGRP-358 
28179,DGRP-359 
25186,DGRP-360 
28180,DGRP-361 
25187,DGRP-362 
25445,DGRP-365 
28181,DGRP-367 
28182,DGRP-370 
28183,DGRP-371 
28184,DGRP-373 
28185,DGRP-374 
25188,DGRP-375 
28186,DGRP-377 
25189,DGRP-379 
25190,DGRP-380 
28188,DGRP-381 
28189,DGRP-382 
28190,DGRP-383 
28191,DGRP-385 
28192,DGRP-386 
25191,DGRP-391 
28194,DGRP-392 
25192,DGRP-399 
29656,DGRP-405 
29657,DGRP-406 
28278,DGRP-409 
28196,DGRP-426 
25193,DGRP-427 
25194,DGRP-437 
29658,DGRP-439 
28197,DGRP-440 
28198,DGRP-441 
28199,DGRP-443 
28200,DGRP-461 
25195,DGRP-486 
28202,DGRP-491 
28203,DGRP-492 
28204,DGRP-502 
28205,DGRP-508 
28206,DGRP-509 
29659,DGRP-513 
25197,DGRP-517 
29660,DGRP-530 
28207,DGRP-531 
28208,DGRP-535 
25198,DGRP-555 
28211,DGRP-563 
28212,DGRP-584 
28213,DGRP-589 
28215,DGRP-595 
25199,DGRP-639 
28216,DGRP-642 
28217,DGRP-646 
28218,DGRP-703 
25744,DGRP-705 
25200,DGRP-707 
25201,DGRP-712 
25745,DGRP-714 
28219,DGRP-716 
28220,DGRP-721 
28221,DGRP-727 
25202,DGRP-730 
25203,DGRP-732 
28222,DGRP-737 
28223,DGRP-738 
28224,DGRP-748 
28226,DGRP-757 
28227,DGRP-761 
25204,DGRP-765 
25205,DGRP-774 
28229,DGRP-776 
28230,DGRP-783 
25206,DGRP-786 
28231,DGRP-787 
28232,DGRP-790 
28233,DGRP-796 
25207,DGRP-799 
28234,DGRP-801 
28235,DGRP-802 
28236,DGRP-804 
28237,DGRP-805 
28238,DGRP-808 
28239,DGRP-810 
28240,DGRP-812 
28241,DGRP-818 
28242,DGRP-819 
25208,DGRP-820 
28243,DGRP-821 
28244,DGRP-822 
28245,DGRP-832 
28246,DGRP-837 
28247,DGRP-843 
28248,DGRP-849 
28249,DGRP-850 
25209,DGRP-852 
28250,DGRP-853 
28251,DGRP-855 
28252,DGRP-857 
25210,DGRP-859 
28253,DGRP-861 
28254,DGRP-879 
28255,DGRP-882 
28256,DGRP-884 
28279,DGRP-887 
28257,DGRP-890 
28258,DGRP-892 
28259,DGRP-894 
28260,DGRP-897 
28261,DGRP-900 
28262,DGRP-907 
28263,DGRP-908 
28264,DGRP-911 
28265,DGRP-913 
w1118,w1118
